rank,num_procs,distribution,run,elapsed_time,comm_time,local_nz,ghost_entries,local_flops
0,1,1D,0,0.001576705,0.000560949,500000,0,1000000
0,1,1D,1,0.001359925,0.000438305,500000,0,1000000
0,1,1D,2,0.001266623,0.000271117,500000,0,1000000
0,1,1D,3,0.001426384,0.000488036,500000,0,1000000
0,1,1D,4,0.001318663,0.000389701,500000,0,1000000
0,1,1D,5,0.001344009,0.000378881,500000,0,1000000
0,1,1D,6,0.001355299,0.000377972,500000,0,1000000
0,1,1D,7,0.001376172,0.000337762,500000,0,1000000
0,1,1D,8,0.001323139,0.000268181,500000,0,1000000
0,1,1D,9,0.001280619,0.000364514,500000,0,1000000
0,2,1D,0,0.003651664,0.000369433,500000,10000,1000000
0,2,1D,1,0.003573529,0.000333009,500000,10000,1000000
0,2,1D,2,0.003557947,0.000300601,500000,10000,1000000
0,2,1D,3,0.003472489,0.000303519,500000,10000,1000000
0,2,1D,4,0.003549807,0.000375751,500000,10000,1000000
0,2,1D,5,0.003541041,0.000431777,500000,10000,1000000
0,2,1D,6,0.003337244,0.000317326,500000,10000,1000000
0,2,1D,7,0.003341364,0.000364148,500000,10000,1000000
0,2,1D,8,0.003524935,0.000375038,500000,10000,1000000
0,2,1D,9,0.003705375,0.000352527,500000,10000,1000000
0,4,1D,0,0.049939688,0.032032016,500000,30000,1000000
0,4,1D,1,0.050039252,0.032033376,500000,30000,1000000
0,4,1D,2,0.049868052,0.031987405,500000,30000,1000000
0,4,1D,3,0.049888459,0.032023877,500000,30000,1000000
0,4,1D,4,0.049884145,0.032028334,500000,30000,1000000
0,4,1D,5,0.049940363,0.032027307,500000,30000,1000000
0,4,1D,6,0.049951165,0.032028581,500000,30000,1000000
0,4,1D,7,0.065979741,0.032041025,500000,30000,1000000
0,4,1D,8,0.047897455,0.030050999,500000,30000,1000000
0,4,1D,9,0.049915253,0.032025284,500000,30000,1000000
0,8,1D,0,0.129659584,0.064044520,500000,69858,1000000
0,8,1D,1,0.097461187,0.064030745,500000,69858,1000000
0,8,1D,2,0.097670761,0.064023735,500000,69858,1000000
0,8,1D,3,0.097597825,0.064022369,500000,69858,1000000
0,8,1D,4,0.101708334,0.068036305,500000,69858,1000000
0,8,1D,5,0.129462975,0.096023507,500000,69858,1000000
0,8,1D,6,0.097610205,0.064055286,500000,69858,1000000
0,8,1D,7,0.129647675,0.096013224,500000,69858,1000000
0,8,1D,8,0.097498715,0.064053319,500000,69858,1000000
0,8,1D,9,0.089541720,0.064007022,500000,69858,1000000
0,2,2D,0,0.000908151,0.000389810,499941,5000,999882
0,2,2D,1,0.000784619,0.000310774,499941,5000,999882
0,2,2D,2,0.000773493,0.000308455,499941,5000,999882
0,2,2D,3,0.000762351,0.000265123,499941,5000,999882
0,2,2D,4,0.000689166,0.000190034,499941,5000,999882
0,2,2D,5,0.000764941,0.000286741,499941,5000,999882
0,2,2D,6,0.000757486,0.000328249,499941,5000,999882
0,2,2D,7,0.000686518,0.000250057,499941,5000,999882
0,2,2D,8,0.000766702,0.000303811,499941,5000,999882
0,2,2D,9,0.000726390,0.000272865,499941,5000,999882
0,4,2D,0,0.100000046,0.084017359,499975,10000,999950
0,4,2D,1,0.080001551,0.064008061,499975,10000,999950
0,4,2D,2,0.108017834,0.076034073,499975,10000,999950
0,4,2D,3,0.079961519,0.063977899,499975,10000,999950
0,4,2D,4,0.080005145,0.064018915,499975,10000,999950
0,4,2D,5,0.080004315,0.064016784,499975,10000,999950
0,4,2D,6,0.084616655,0.068623277,499975,10000,999950
0,4,2D,7,0.079992032,0.064017759,499975,10000,999950
0,4,2D,8,0.080006818,0.064024451,499975,10000,999950
0,4,2D,9,0.080002943,0.064015045,499975,10000,999950
0,8,2D,0,0.223987722,0.192002143,499982,15000,999964
0,8,2D,1,0.279998339,0.248016900,499982,15000,999964
0,8,2D,2,0.256013832,0.224027626,499982,15000,999964
0,8,2D,3,0.224011217,0.192015621,499982,15000,999964
0,8,2D,4,0.232003718,0.200015782,499982,15000,999964
0,8,2D,5,0.224016842,0.192022811,499982,15000,999964
0,8,2D,6,0.224010214,0.192021708,499982,15000,999964
0,8,2D,7,0.224003523,0.192010640,499982,15000,999964
0,8,2D,8,0.252000821,0.220024966,499982,15000,999964
0,8,2D,9,0.224032529,0.192038408,499982,15000,999964
0,2,2D_cyclic,0,0.000821318,0.000303566,499956,5000,999912
0,2,2D_cyclic,1,0.000701253,0.000222906,499956,5000,999912
0,2,2D_cyclic,2,0.000779958,0.000335612,499956,5000,999912
0,2,2D_cyclic,3,0.000771063,0.000270677,499956,5000,999912
0,2,2D_cyclic,4,0.000843213,0.000287693,499956,5000,999912
0,2,2D_cyclic,5,0.000701390,0.000260135,499956,5000,999912
0,2,2D_cyclic,6,0.000754917,0.000299385,499956,5000,999912
0,2,2D_cyclic,7,0.000624151,0.000188342,499956,5000,999912
0,2,2D_cyclic,8,0.000655445,0.000214936,499956,5000,999912
0,2,2D_cyclic,9,0.000849407,0.000393475,499956,5000,999912
0,4,2D_cyclic,0,0.080004814,0.064018360,499976,10000,999952
0,4,2D_cyclic,1,0.091992320,0.061205397,499976,10000,999952
0,4,2D_cyclic,2,0.076001724,0.059309563,499976,10000,999952
0,4,2D_cyclic,3,0.087981595,0.072007849,499976,10000,999952
0,4,2D_cyclic,4,0.100016124,0.068035841,499976,10000,999952
0,4,2D_cyclic,5,0.091676415,0.073510157,499976,10000,999952
0,4,2D_cyclic,6,0.107988161,0.093165728,499976,10000,999952
0,4,2D_cyclic,7,0.087709491,0.075693757,499976,10000,999952
0,4,2D_cyclic,8,0.089718814,0.073740920,499976,10000,999952
0,4,2D_cyclic,9,0.080017149,0.064041981,499976,10000,999952
0,8,2D_cyclic,0,0.216017044,0.188051080,499976,15000,999952
0,8,2D_cyclic,1,0.224017999,0.192027443,499976,15000,999952
0,8,2D_cyclic,2,0.256012072,0.208014730,499976,15000,999952
0,8,2D_cyclic,3,0.252016258,0.220029628,499976,15000,999952
0,8,2D_cyclic,4,0.255978419,0.223984743,499976,15000,999952
0,8,2D_cyclic,5,0.220008323,0.188069830,499976,15000,999952
0,8,2D_cyclic,6,0.256008590,0.192024365,499976,15000,999952
0,8,2D_cyclic,7,0.224009982,0.192014681,499976,15000,999952
0,8,2D_cyclic,8,0.224007264,0.192009492,499976,15000,999952
0,8,2D_cyclic,9,0.196038812,0.168040965,499976,15000,999952
