distribution,num_procs,ghost_entries_min,ghost_entries_mean,ghost_entries_max,ghost_volume_total,load_imbalance
1D,1,0,0.0,0,0,0.0
1D,2,300,300.0,300,600,1.0
1D,4,247,247.0,247,988,1.0
1D,8,139,139.0,139,1112,1.0
1D,16,80,80.0,80,1280,1.0
1D,32,46,46.0,46,1472,1.0
1D,64,24,24.0,24,1536,1.0
1D,128,16,16.0,16,2048,1.0
2D,2,0,0.0,0,0,0.0
2D,4,0,0.0,0,0,0.0
2D,8,0,0.0,0,0,0.0
2D,16,0,0.0,0,0,0.0
2D,32,0,0.0,0,0,0.0
2D,64,0,0.0,0,0,0.0
2D,128,0,0.0,0,0,0.0
2D_cyclic,2,284,284.0,284,568,1.0
2D_cyclic,4,284,284.0,284,1136,1.0
2D_cyclic,8,213,213.0,213,1704,1.0
2D_cyclic,16,213,213.0,213,3408,1.0
2D_cyclic,32,125,125.0,125,4000,1.0
2D_cyclic,64,125,125.0,125,8000,1.0
2D_cyclic,128,67,67.0,67,8576,1.0
